                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5884,                  2.731,                 1.4844,                0.59678,                0.15672,                0.25168,                0.12057,                 1.4601,                 2.8397,                 1.4424,             0.00054935,             0.00054935,             0.00054935
                      2,                 1.4614,                  2.158,                 1.3994,                0.38025,                0.40932,                0.37968,                 0.2124,                 1.5912,                 2.3549,                 1.5587,              0.0010503,              0.0010503,              0.0010503
                      3,                 1.4348,                 1.8985,                 1.3961,                0.38931,                 0.4606,                0.38645,                0.21451,                 1.5145,                 2.4425,                 1.4587,              0.0014963,              0.0014963,              0.0014963
                      4,                 1.4275,                 1.7961,                 1.3979,                0.46173,                0.53779,                0.53918,                0.29234,                  1.408,                    1.9,                 1.3805,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.3663,                  1.568,                  1.355,                0.70313,                0.60504,                0.66162,                0.43596,                 1.2248,                 1.4053,                 1.2751,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.3028,                 1.4536,                  1.326,                0.74006,                0.73015,                0.77933,                0.51199,                 1.2146,                 1.1751,                 1.2448,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.2579,                 1.3159,                 1.2661,                0.69193,                0.66531,                0.69692,                0.42765,                  1.305,                 1.5888,                 1.3282,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.2431,                 1.2646,                 1.2833,                 0.6816,                 0.7575,                0.77076,                0.52868,                 1.1473,                 1.1731,                 1.2257,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.1769,                 1.1855,                 1.2354,                0.78651,                0.80166,                0.84424,                 0.5985,                 1.0719,                0.93039,                 1.1593,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.1353,                 1.1121,                 1.2109,                0.84812,                 0.8088,                0.85193,                0.60113,                 1.0594,                0.94669,                   1.15,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.0567,                0.99911,                 1.1812,                0.82297,                0.76427,                0.84645,                0.60239,                 1.0922,                0.93508,                 1.1789,             0.00084184,             0.00084184,             0.00084184
                     12,                 0.9825,                  0.889,                 1.1371,                0.86515,                0.84652,                0.88161,                 0.6474,                 1.0016,                0.80618,                 1.1107,             0.00075932,             0.00075932,             0.00075932
                     13,                0.96029,                0.79654,                 1.1142,                0.87892,                0.86202,                0.89523,                0.66787,                0.97899,                0.76133,                 1.1116,              0.0006768,              0.0006768,              0.0006768
                     14,                0.93958,                0.77937,                 1.1055,                0.86638,                0.87272,                0.92099,                0.68733,                0.98663,                0.74699,                 1.1074,             0.00059429,             0.00059429,             0.00059429
                     15,                0.90506,                0.72534,                 1.0909,                0.88799,                0.87725,                0.91941,                0.70058,                0.92834,                0.68125,                 1.0835,             0.00051177,             0.00051177,             0.00051177
                     16,                0.86311,                0.67461,                 1.0701,                0.92051,                0.86289,                 0.9303,                0.70069,                0.93501,                 0.6733,                 1.0784,             0.00042925,             0.00042925,             0.00042925
                     17,                0.83378,                0.64568,                 1.0522,                0.90986,                0.86572,                0.92503,                0.70278,                0.91106,                0.65991,                 1.0685,             0.00034674,             0.00034674,             0.00034674
                     18,                0.82404,                0.62285,                 1.0501,                0.91644,                0.88018,                 0.9329,                0.71679,                0.88402,                0.63686,                 1.0569,             0.00026422,             0.00026422,             0.00026422
                     19,                0.79374,                0.58357,                 1.0285,                0.89991,                0.89974,                0.93462,                0.72814,                0.88206,                0.63703,                 1.0515,              0.0001817,              0.0001817,              0.0001817
                     20,                0.76931,                0.55498,                 1.0108,                0.87095,                 0.9153,                0.93328,                0.73362,                0.86715,                0.61832,                 1.0423,             9.9187e-05,             9.9187e-05,             9.9187e-05
