local,horario,frame,classe,confiança
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:55.678675,446,Accident,0.8641480207443237
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:55.870676,448,Accident,0.8772140741348267
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:56.058746,450,Accident,0.8804594278335571
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:56.237780,452,Accident,0.8807302713394165
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:56.411780,454,Accident,0.8860068321228027
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:56.583810,456,Accident,0.8854675889015198
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:56.749389,458,Accident,0.8683276772499084
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:56.938424,460,Accident,0.8151788115501404
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:57.242723,462,Accident,0.8712349534034729
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:57.504778,464,Accident,0.8689464330673218
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:57.742815,466,Accident,0.8376282453536987
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:57.960337,468,Accident,0.8051520586013794
"Rua X, Setor Y, Cidade Z",2024-07-02 11:09:58.181977,470,Accident,0.7384417057037354
