                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82068,                0.88228,                 1.3456,                0.84198,                0.78889,                0.83053,                 0.4287,                 1.6541,                 1.1998,                 2.1273,             0.00055445,             0.00055445,             0.00055445
                     36,                0.79932,                0.84311,                 1.3236,                0.89558,                0.86667,                0.88964,                0.45114,                 1.6226,                 1.1096,                 2.0754,             0.00052873,             0.00052873,             0.00052873
                     37,                0.80942,                0.84238,                 1.3362,                0.91862,                0.77542,                0.86584,                0.47365,                 1.6599,                 1.2679,                 2.0932,             0.00050301,             0.00050301,             0.00050301
                     38,                 0.7892,                0.79816,                 1.3179,                0.86423,                   0.75,                0.78354,                0.41194,                 1.6939,                 1.2173,                 2.1397,             0.00047729,             0.00047729,             0.00047729
                     39,                0.75654,                0.79527,                 1.2918,                0.89834,                0.85195,                0.90565,                0.47721,                 1.5639,                 1.0773,                 2.0505,             0.00045156,             0.00045156,             0.00045156
                     40,                0.80118,                0.79738,                 1.3182,                 0.8588,                0.80928,                0.79849,                0.41531,                 1.6715,                 1.1508,                   2.15,             0.00042584,             0.00042584,             0.00042584
                     41,                0.88197,                0.76211,                 1.4765,                0.90751,                0.87846,                0.89878,                0.43317,                 1.6866,                 1.1606,                 2.1642,             0.00040012,             0.00040012,             0.00040012
                     42,                0.85932,                0.66947,                 1.4601,                0.84926,                0.84501,                0.81437,                0.39854,                 1.6187,                 1.2228,                 2.0999,              0.0003744,              0.0003744,              0.0003744
                     43,                0.88027,                0.64336,                 1.4778,                0.89919,                0.80514,                0.89326,                0.48813,                 1.5926,                 1.0621,                 2.0774,             0.00034868,             0.00034868,             0.00034868
                     44,                0.84462,                0.64006,                 1.4717,                0.82642,                   0.75,                0.80916,                0.40802,                 1.6755,                 1.3395,                 2.1109,             0.00032295,             0.00032295,             0.00032295
                     45,                0.83852,                0.59632,                 1.4515,                 0.8777,                0.83975,                0.88316,                0.47952,                 1.5825,                  1.104,                 2.0783,             0.00029723,             0.00029723,             0.00029723
                     46,                0.83341,                0.60313,                 1.4356,                0.94947,                0.83708,                0.89033,                0.49401,                 1.5922,                 1.0821,                 2.0608,             0.00027151,             0.00027151,             0.00027151
                     47,                0.81312,                0.57291,                 1.4307,                0.82103,                0.88859,                 0.8672,                0.48961,                 1.6418,                 1.0978,                 2.0898,             0.00024579,             0.00024579,             0.00024579
                     48,                0.78073,                 0.5718,                 1.4101,                0.92751,                0.83333,                0.89355,                0.48493,                 1.6138,                 1.0529,                 2.1047,             0.00022007,             0.00022007,             0.00022007
                     49,                0.78602,                0.55697,                  1.396,                0.92098,                0.85163,                0.88221,                0.50355,                 1.5881,                 1.0128,                 2.1498,             0.00019434,             0.00019434,             0.00019434
                     50,                  0.791,                0.54095,                 1.3968,                0.91714,                0.87469,                0.90661,                0.45966,                 1.6814,                 1.0595,                 2.1637,             0.00016862,             0.00016862,             0.00016862
