                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6193,                 2.6776,                 1.4708,                0.64009,                0.10248,                0.19895,                0.11327,                 1.4365,                 2.8931,                 1.4589,             0.00054761,             0.00054761,             0.00054761
                      2,                 1.4642,                 2.0376,                 1.3958,                0.52118,                0.44048,                0.48051,                0.28226,                 1.4176,                 2.0273,                 1.4096,              0.0010669,              0.0010669,              0.0010669
                      3,                 1.4517,                 1.8487,                 1.3952,                0.52304,                0.50886,                 0.5126,                0.29303,                 1.4709,                 1.8579,                 1.4332,              0.0015495,              0.0015495,              0.0015495
                      4,                 1.3965,                 1.6749,                 1.3596,                0.44294,                0.41931,                0.42653,                0.27097,                 1.3253,                  1.842,                 1.3468,               0.001502,               0.001502,               0.001502
                      5,                 1.3844,                  1.555,                 1.3525,                0.62699,                0.64269,                0.69732,                 0.4383,                 1.2609,                 1.5143,                 1.2598,               0.001447,               0.001447,               0.001447
                      6,                 1.3312,                 1.4545,                 1.3286,                0.78321,                0.69058,                0.78025,                0.52641,                 1.1458,                 1.2237,                 1.1813,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.2963,                 1.3463,                 1.2994,                0.79209,                0.64807,                0.77605,                0.51249,                 1.1186,                   1.09,                 1.1692,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2309,                 1.2469,                 1.2626,                 0.8592,                0.70158,                 0.7996,                 0.5332,                 1.1106,                0.97268,                  1.175,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.1769,                 1.1522,                 1.2249,                0.74727,                0.80493,                0.83545,                0.57966,                 1.0457,                0.89808,                  1.149,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.1433,                 1.1052,                  1.212,                0.84693,                0.75706,                0.84143,                 0.5962,                 1.0166,                0.84801,                 1.1186,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.1646,                 1.1229,                 1.2364,                0.79515,                0.80249,                0.86036,                0.58467,                 1.0452,                0.92172,                 1.1736,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.1282,                 1.0277,                 1.1978,                0.85273,                0.75652,                0.84888,                0.61363,                 1.0236,                0.87463,                 1.1194,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.1174,                  1.018,                 1.1956,                0.84747,                0.81708,                0.85687,                    0.6,                 1.0285,                0.82145,                 1.1335,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.0883,                0.98312,                 1.1891,                0.87442,                0.79919,                0.87348,                0.63575,                0.93362,                0.78564,                 1.0966,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.0487,                  0.914,                 1.1624,                0.87862,                0.79843,                0.88241,                0.64045,                0.94519,                 0.7594,                   1.08,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.0429,                0.89379,                 1.1488,                0.86294,                0.86448,                0.90673,                0.66681,                0.92851,                0.70894,                 1.0799,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.0263,                0.85585,                 1.1478,                0.89529,                0.81906,                0.90118,                0.68386,                0.88414,                0.69082,                 1.0565,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.0142,                0.84552,                 1.1407,                0.87807,                0.84759,                0.91822,                0.69333,                0.86553,                0.64079,                 1.0371,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.0016,                0.85414,                 1.1359,                0.87154,                0.89998,                0.91221,                0.67713,                0.89169,                0.68479,                 1.0559,              0.0006768,              0.0006768,              0.0006768
