                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0084,                0.53482,                0.94971,                0.93204,                0.91176,                0.97192,                0.71938,                 1.0028,                0.48998,                 0.9589,                0.00074,                0.00074,                0.00074
                     37,                 1.0043,                 0.5386,                0.94865,                0.91927,                0.94035,                0.97351,                0.72917,                0.99403,                0.48619,                0.95022,               0.000704,               0.000704,               0.000704
                     38,                 1.0067,                0.52799,                 0.9559,                0.92041,                0.94005,                0.97537,                0.72917,                0.98328,                0.47721,                0.94877,               0.000668,               0.000668,               0.000668
                     39,                0.99292,                 0.5219,                0.94477,                0.92532,                0.93665,                0.97469,                0.72947,                0.99005,                0.47616,                0.95232,               0.000632,               0.000632,               0.000632
                     40,                0.98695,                0.51478,                0.94254,                0.90674,                 0.9349,                0.97271,                0.72756,                 0.9937,                0.48476,                0.94907,               0.000596,               0.000596,               0.000596
                     41,                0.97585,                0.49763,                0.94312,                0.91144,                0.93326,                0.97324,                0.71639,                 1.0094,                0.48938,                0.96271,                0.00056,                0.00056,                0.00056
                     42,                0.96339,                0.48666,                0.94672,                0.91424,                 0.9276,                0.97049,                0.72697,                0.99108,                0.47979,                 0.9498,               0.000524,               0.000524,               0.000524
                     43,                0.95516,                 0.4799,                0.93675,                 0.9319,                0.92874,                0.97202,                0.72988,                0.98264,                0.46785,                0.94785,               0.000488,               0.000488,               0.000488
                     44,                0.95195,                0.47246,                0.94125,                0.93088,                0.92934,                0.97467,                0.73463,                0.98231,                 0.4709,                0.94999,               0.000452,               0.000452,               0.000452
                     45,                0.93914,                 0.4756,                0.93509,                0.91204,                 0.9491,                0.97445,                0.72989,                0.97476,                0.46169,                0.94683,               0.000416,               0.000416,               0.000416
                     46,                0.94673,                0.47433,                0.94109,                0.91028,                0.93213,                0.96912,                0.73111,                0.97636,                0.47807,                0.94708,                0.00038,                0.00038,                0.00038
                     47,                0.93677,                0.46804,                 0.9322,                0.92452,                0.94223,                0.97592,                0.73298,                0.98161,                0.46149,                0.94622,               0.000344,               0.000344,               0.000344
                     48,                0.93333,                0.46534,                0.93081,                 0.9314,                0.92156,                0.97303,                0.72844,                0.97711,                0.45762,                0.94594,               0.000308,               0.000308,               0.000308
                     49,                0.92738,                0.46012,                 0.9326,                0.91667,                 0.9457,                0.97479,                0.73998,                0.95948,                  0.458,                0.93934,               0.000272,               0.000272,               0.000272
                     50,                0.92371,                0.45889,                 0.9293,                0.93291,                0.92308,                  0.976,                0.73964,                  0.961,                0.45295,                0.93921,               0.000236,               0.000236,               0.000236
